2014-07-09T15:58:09.187+0200: 3.096: [GC [PSYoungGen: 27589K->3009K(27648K)] 54422K->29850K(60416K), 0.0017495 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:09.240+0200: 3.150: [GC [PSYoungGen: 25528K->5090K(27648K)] 52369K->33764K(60416K), 0.0104004 secs] [Times: user=0.00 sys=0.02, real=0.01 secs] 
2014-07-09T15:58:09.337+0200: 3.247: [GC [PSYoungGen: 27589K->4802K(27648K)] 56263K->33484K(60416K), 0.0041946 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:09.437+0200: 3.347: [GC [PSYoungGen: 27304K->1632K(27648K)] 55986K->30322K(60416K), 0.0124403 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:09.493+0200: 3.402: [GC [PSYoungGen: 24131K->5090K(27648K)] 52821K->36445K(60416K), 0.0063701 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:09.499+0200: 3.409: [Full GC [PSYoungGen: 5090K->0K(27648K)] [ParOldGen: 31355K->7972K(32768K)] 36445K->7972K(60416K) [PSPermGen: 2475K->2474K(21504K)], 0.0147805 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:09.595+0200: 3.504: [GC [PSYoungGen: 22498K->5090K(27648K)] 30471K->13606K(60416K), 0.0043449 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:09.695+0200: 3.605: [GC [PSYoungGen: 27589K->3521K(27648K)] 36105K->12046K(60416K), 0.0052677 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:09.793+0200: 3.703: [GC [PSYoungGen: 26029K->5090K(27648K)] 34554K->16600K(60416K), 0.0110967 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:09.892+0200: 3.801: [GC [PSYoungGen: 27589K->5090K(27648K)] 39099K->17472K(60416K), 0.0074007 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:09.987+0200: 3.896: [GC [PSYoungGen: 27600K->2305K(27648K)] 39982K->14695K(60416K), 0.0011886 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:10.086+0200: 3.996: [GC [PSYoungGen: 24804K->192K(27648K)] 37194K->12590K(60416K), 0.0008927 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:10.138+0200: 4.048: [GC [PSYoungGen: 22691K->5090K(27648K)] 35089K->18681K(60416K), 0.0050668 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:10.238+0200: 4.148: [GC [PSYoungGen: 27603K->2497K(27648K)] 41194K->16095K(60416K), 0.0039244 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:10.338+0200: 4.247: [GC [PSYoungGen: 24996K->384K(27648K)] 38594K->13990K(60416K), 0.0007399 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:10.396+0200: 4.306: [GC [PSYoungGen: 22883K->5090K(27648K)] 36489K->20049K(60416K), 0.0136902 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:10.493+0200: 4.403: [GC [PSYoungGen: 27592K->3297K(27648K)] 42552K->18265K(60416K), 0.0034140 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:10.593+0200: 4.503: [GC [PSYoungGen: 25796K->1216K(27648K)] 40763K->16191K(60416K), 0.0028707 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:10.688+0200: 4.598: [GC [PSYoungGen: 23715K->5090K(27648K)] 38690K->22282K(60416K), 0.0062015 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:10.787+0200: 4.697: [GC [PSYoungGen: 27604K->3137K(27648K)] 44796K->20338K(60416K), 0.0018595 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:10.887+0200: 4.797: [GC [PSYoungGen: 25636K->1024K(27648K)] 42836K->18232K(60416K), 0.0018815 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:10.941+0200: 4.851: [GC [PSYoungGen: 23523K->5090K(27648K)] 40731K->24323K(60416K), 0.0106805 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:11.037+0200: 4.947: [GC [PSYoungGen: 27592K->3937K(27648K)] 46826K->23179K(60416K), 0.0207030 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:58:11.136+0200: 5.046: [GC [PSYoungGen: 26436K->1856K(27648K)] 45678K->21106K(60416K), 0.0010969 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:11.199+0200: 5.109: [GC [PSYoungGen: 24355K->5090K(27648K)] 43605K->27197K(60416K), 0.0156934 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2014-07-09T15:58:11.296+0200: 5.205: [GC [PSYoungGen: 27606K->4162K(27648K)] 49713K->26276K(60416K), 0.0059848 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:11.390+0200: 5.300: [GC [PSYoungGen: 26658K->2048K(27648K)] 48773K->24171K(60416K), 0.0019233 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:11.489+0200: 5.399: [GC [PSYoungGen: 24559K->5090K(27648K)] 46682K->28726K(60416K), 0.0094120 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:11.587+0200: 5.497: [GC [PSYoungGen: 27589K->4450K(27648K)] 51225K->28093K(60416K), 0.0048138 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:11.687+0200: 5.597: [GC [PSYoungGen: 26949K->2369K(27648K)] 50592K->26020K(60416K), 0.0027141 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:11.740+0200: 5.650: [GC [PSYoungGen: 24877K->5090K(27648K)] 48528K->30574K(60416K), 0.0092316 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:11.839+0200: 5.749: [GC [PSYoungGen: 27589K->4802K(27648K)] 53073K->30294K(60416K), 0.0071804 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:11.938+0200: 5.848: [GC [PSYoungGen: 27304K->1632K(27648K)] 52797K->27133K(60416K), 0.0031350 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:11.999+0200: 5.909: [GC [PSYoungGen: 24131K->5090K(27648K)] 49632K->33256K(60416K), 0.0110354 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:12.097+0200: 6.007: [GC [PSYoungGen: 27589K->5090K(27648K)] 55755K->33776K(60416K), 0.0131424 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:12.190+0200: 6.100: [GC [PSYoungGen: 27589K->3521K(27648K)] 56275K->32215K(60416K), 0.0025737 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:12.289+0200: 6.199: [GC [PSYoungGen: 26040K->5090K(27648K)] 54734K->36129K(60416K), 0.0100221 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:12.299+0200: 6.209: [Full GC [PSYoungGen: 5090K->0K(27648K)] [ParOldGen: 31039K->7910K(32768K)] 36129K->7910K(60416K) [PSPermGen: 2474K->2474K(21504K)], 0.0252110 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2014-07-09T15:58:12.388+0200: 6.298: [GC [PSYoungGen: 22498K->5090K(27648K)] 30409K->13193K(60416K), 0.0207011 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:58:12.487+0200: 6.397: [GC [PSYoungGen: 27594K->2177K(27648K)] 35697K->10288K(60416K), 0.0033092 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:12.586+0200: 6.496: [GC [PSYoungGen: 24674K->64K(27648K)] 32784K->8182K(60416K), 0.0015321 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:12.643+0200: 6.552: [GC [PSYoungGen: 22560K->5090K(27648K)] 30679K->14273K(60416K), 0.0066785 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:12.736+0200: 6.646: [GC [PSYoungGen: 27600K->2497K(27648K)] 36784K->11688K(60416K), 0.0013422 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:12.836+0200: 6.746: [GC [PSYoungGen: 24996K->384K(27648K)] 34187K->9583K(60416K), 0.0016253 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:12.893+0200: 6.803: [GC [PSYoungGen: 22883K->5090K(27648K)] 32082K->15674K(60416K), 0.0054767 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:12.997+0200: 6.907: [GC [PSYoungGen: 27598K->2817K(27648K)] 38182K->13409K(60416K), 0.0035863 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:13.089+0200: 6.999: [GC [PSYoungGen: 25316K->704K(27648K)] 35908K->11304K(60416K), 0.0111978 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:13.189+0200: 7.099: [GC [PSYoungGen: 23203K->5090K(27648K)] 33803K->17363K(60416K), 0.0176497 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:58:13.288+0200: 7.198: [GC [PSYoungGen: 27604K->3009K(27648K)] 39877K->15290K(60416K), 0.0046521 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:13.386+0200: 7.296: [GC [PSYoungGen: 25508K->896K(27648K)] 37789K->13185K(60416K), 0.0016575 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:13.438+0200: 7.348: [GC [PSYoungGen: 23395K->5090K(27648K)] 35684K->19276K(60416K), 0.0054231 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:13.537+0200: 7.447: [GC [PSYoungGen: 27592K->3841K(27648K)] 41778K->18035K(60416K), 0.0039284 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:13.637+0200: 7.547: [GC [PSYoungGen: 26340K->1696K(27648K)] 40534K->15898K(60416K), 0.0321384 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2014-07-09T15:58:13.699+0200: 7.609: [GC [PSYoungGen: 24207K->5090K(27648K)] 38408K->20452K(60416K), 0.0534394 secs] [Times: user=0.02 sys=0.00, real=0.05 secs] 
2014-07-09T15:58:13.799+0200: 7.709: [GC [PSYoungGen: 27593K->3649K(27648K)] 42955K->19020K(60416K), 0.0083657 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:13.892+0200: 7.802: [GC [PSYoungGen: 26148K->1536K(27648K)] 41519K->16915K(60416K), 0.0025763 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:13.990+0200: 7.900: [GC [PSYoungGen: 24041K->5090K(27648K)] 39419K->21981K(60416K), 0.0099352 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:14.089+0200: 7.999: [GC [PSYoungGen: 27589K->4482K(27648K)] 44480K->21381K(60416K), 0.0051049 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:14.187+0200: 8.097: [GC [PSYoungGen: 26981K->2369K(27648K)] 43880K->19276K(60416K), 0.0016341 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:14.238+0200: 8.148: [GC [PSYoungGen: 24882K->5090K(27648K)] 41789K->23702K(60416K), 0.0082729 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:14.337+0200: 8.247: [GC [PSYoungGen: 27589K->4674K(27648K)] 46201K->23294K(60416K), 0.0033854 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:14.436+0200: 8.346: [GC [PSYoungGen: 27173K->2561K(27648K)] 45793K->21189K(60416K), 0.0019871 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:14.492+0200: 8.402: [GC [PSYoungGen: 25069K->5090K(27648K)] 43697K->25743K(60416K), 0.0054143 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
