2014-07-09T15:43:12.079+0200: 0.899: [GC [PSYoungGen: 6132K->4129K(11264K)] 14088K->12086K(27648K), 0.0028457 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.084+0200: 0.904: [GC [PSYoungGen: 10250K->2048K(11264K)] 18207K->10013K(27648K), 0.0016179 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.088+0200: 0.908: [GC [PSYoungGen: 8169K->5090K(11264K)] 16134K->16080K(27648K), 0.0060757 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:12.132+0200: 0.952: [GC [PSYoungGen: 11213K->5090K(11264K)] 22203K->17072K(27648K), 0.0080412 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:12.141+0200: 0.960: [Full GC [PSYoungGen: 5090K->0K(11264K)] [ParOldGen: 11982K->6293K(16384K)] 17072K->6293K(27648K) [PSPermGen: 2474K->2474K(21504K)], 0.0219055 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2014-07-09T15:43:12.179+0200: 0.999: [GC [PSYoungGen: 6122K->4001K(11264K)] 12416K->10295K(27648K), 0.0030844 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.185+0200: 1.005: [GC [PSYoungGen: 10124K->1920K(11264K)] 16418K->8222K(27648K), 0.0015578 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.191+0200: 1.010: [GC [PSYoungGen: 8041K->5090K(11264K)] 14343K->14289K(27648K), 0.0064522 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:12.229+0200: 1.049: [GC [PSYoungGen: 11213K->5090K(11264K)] 20412K->15153K(27648K), 0.0047130 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.279+0200: 1.099: [GC [PSYoungGen: 11213K->3873K(11264K)] 21276K->13945K(27648K), 0.0029414 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.284+0200: 1.104: [GC [PSYoungGen: 9996K->1792K(11264K)] 20068K->11872K(27648K), 0.0015021 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.289+0200: 1.109: [GC [PSYoungGen: 7913K->5090K(11264K)] 17993K->17939K(27648K), 0.0057832 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:12.295+0200: 1.115: [Full GC [PSYoungGen: 5090K->0K(11264K)] [ParOldGen: 12848K->8119K(16384K)] 17939K->8119K(27648K) [PSPermGen: 2474K->2474K(21504K)], 0.0125624 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:12.329+0200: 1.149: [GC [PSYoungGen: 6140K->4162K(11264K)] 14259K->12281K(27648K), 0.0029737 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.379+0200: 1.199: [GC [PSYoungGen: 10282K->2048K(11264K)] 18402K->10176K(27648K), 0.0152366 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2014-07-09T15:43:12.400+0200: 1.220: [GC [PSYoungGen: 8169K->5090K(11264K)] 16297K->16267K(27648K), 0.0086989 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:12.452+0200: 1.272: [GC [PSYoungGen: 11213K->5090K(11264K)] 22390K->17259K(27648K), 0.0050162 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:12.457+0200: 1.277: [Full GC [PSYoungGen: 5090K->0K(11264K)] [ParOldGen: 12169K->6329K(16384K)] 17259K->6329K(27648K) [PSPermGen: 2474K->2474K(21504K)], 0.0123619 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:12.472+0200: 1.292: [GC [PSYoungGen: 6122K->4033K(11264K)] 12452K->10363K(27648K), 0.0031280 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.478+0200: 1.298: [GC [PSYoungGen: 10156K->1952K(11264K)] 16486K->8290K(27648K), 0.0014372 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.482+0200: 1.302: [GC [PSYoungGen: 8073K->5090K(11264K)] 14411K->14357K(27648K), 0.0061703 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:12.491+0200: 1.311: [GC [PSYoungGen: 11213K->5090K(11264K)] 20480K->15253K(27648K), 0.0044937 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:12.529+0200: 1.349: [GC [PSYoungGen: 11213K->3905K(11264K)] 21376K->14077K(27648K), 0.0024949 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.578+0200: 1.398: [GC [PSYoungGen: 10034K->800K(11264K)] 20205K->10979K(27648K), 0.0006552 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.581+0200: 1.401: [GC [PSYoungGen: 6921K->5090K(11264K)] 17100K->17046K(27648K), 0.0048794 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.589+0200: 1.409: [GC [PSYoungGen: 11213K->4834K(11264K)] 23169K->16790K(27648K), 0.0038389 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.628+0200: 1.448: [GC [PSYoungGen: 10957K->2753K(11264K)] 22913K->14717K(27648K), 0.0014251 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.679+0200: 1.499: [GC [PSYoungGen: 8876K->672K(11264K)] 20840K->12644K(27648K), 0.0016344 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.684+0200: 1.504: [GC [PSYoungGen: 6793K->5090K(11264K)] 18765K->18711K(27648K), 0.0099568 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:12.695+0200: 1.515: [Full GC [PSYoungGen: 5090K->0K(11264K)] [ParOldGen: 13620K->7002K(16384K)] 18711K->7002K(27648K) [PSPermGen: 2474K->2474K(21504K)], 0.0183078 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:43:12.716+0200: 1.536: [GC [PSYoungGen: 6122K->4706K(11264K)] 13125K->11708K(27648K), 0.0041689 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.729+0200: 1.549: [GC [PSYoungGen: 10829K->2625K(11264K)] 17831K->9635K(27648K), 0.0012839 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.778+0200: 1.598: [GC [PSYoungGen: 8748K->512K(11264K)] 15758K->7530K(27648K), 0.0063386 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:12.789+0200: 1.609: [GC [PSYoungGen: 6633K->5090K(11264K)] 13651K->13629K(27648K), 0.0054649 secs] [Times: user=0.00 sys=0.02, real=0.01 secs] 
2014-07-09T15:43:12.799+0200: 1.619: [GC [PSYoungGen: 11222K->3041K(11264K)] 19761K->11580K(27648K), 0.0023523 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.828+0200: 1.648: [GC [PSYoungGen: 9170K->448K(11264K)] 17709K->8995K(27648K), 0.0006878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
