Java HotSpot(TM) 64-Bit Server VM (25.5-b02) for windows-amd64 JRE (1.8.0_05-b13), built on Mar 18 2014 01:08:39 by "java_re" with MS VC++ 10.0 (VS2010)
2014-07-09T16:18:59.079+0200: 1.682: [GC (Allocation Failure) [PSYoungGen: 23314K->4834K(32768K)] 35388K->16916K(120320K), 0.0033917 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T16:18:59.179+0200: 1.782: [GC (Allocation Failure) [PSYoungGen: 27333K->2721K(32768K)] 39415K->14811K(120320K), 0.0038870 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T16:18:59.277+0200: 1.880: [GC (Allocation Failure) [PSYoungGen: 26250K->608K(32768K)] 38340K->12706K(120320K), 0.0006038 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T16:18:59.341+0200: 1.944: [GC (Allocation Failure) [PSYoungGen: 24131K->7715K(32256K)] 36229K->19821K(119808K), 0.0086817 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T16:18:59.438+0200: 2.041: [GC (Allocation Failure) [PSYoungGen: 30726K->6114K(29184K)] 42832K->18228K(116736K), 0.0086128 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T16:18:59.538+0200: 2.141: [GC (Allocation Failure) [PSYoungGen: 29128K->4514K(33280K)] 41241K->16635K(120832K), 0.0179779 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2014-07-09T16:18:59.631+0200: 2.234: [GC (Allocation Failure) [PSYoungGen: 27027K->736K(32768K)] 39149K->12866K(120320K), 0.0008132 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T16:18:59.731+0200: 2.334: [GC (Allocation Failure) [PSYoungGen: 23235K->6787K(32256K)] 35365K->18925K(119808K), 0.0134200 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T16:18:59.827+0200: 2.430: [GC (Allocation Failure) [PSYoungGen: 28783K->2657K(32768K)] 40921K->14803K(120320K), 0.0011915 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T16:18:59.880+0200: 2.483: [GC (Allocation Failure) [PSYoungGen: 24641K->8227K(31232K)] 36787K->20381K(118784K), 0.0058554 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T16:18:59.979+0200: 2.583: [GC (Allocation Failure) [PSYoungGen: 29191K->4578K(32256K)] 41345K->16739K(119808K), 0.0051485 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T16:19:00.034+0200: 2.638: [GC (Allocation Failure) [PSYoungGen: 25565K->1216K(31744K)] 37727K->13385K(119296K), 0.0012172 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
2014-07-09T16:19:00.139+0200: 2.742: [GC (Allocation Failure) [PSYoungGen: 22704K->4482K(32256K)] 34874K->16659K(119808K), 0.0103975 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T16:19:00.233+0200: 2.836: [GC (Allocation Failure) [PSYoungGen: 25954K->1344K(32768K)] 38132K->13530K(120320K), 0.0021829 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T16:19:00.348+0200: 2.951: [GC (Allocation Failure) [PSYoungGen: 23857K->6403K(32768K)] 36042K->18596K(120320K), 0.0047236 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T16:19:00.429+0200: 3.032: [GC (Allocation Failure) [PSYoungGen: 28926K->4290K(32256K)] 41119K->16491K(119808K), 0.0047375 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
