Java HotSpot(TM) 64-Bit Server VM (25.5-b02) for windows-amd64 JRE (1.8.0_05-b13), built on Mar 18 2014 01:08:39 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8376184k(4965800k free), swap 16750504k(12232096k free)
CommandLine flags: -XX:InitialHeapSize=134018944 -XX:LogFile=jvm.log -XX:MaxHeapSize=536870912 -XX:MaxNewSize=174485504 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:+PrintFlagsFinal -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UnlockDiagnosticVMOptions -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2014-07-10T12:34:14.807+0200: 0.305: [GC (Allocation Failure) 0.305: [ParNew: 1090K->96K(1152K), 0.0011241 secs] 23608K->23606K(130944K), 0.0011754 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.811+0200: 0.308: [GC (Allocation Failure) 0.308: [ParNew: 1090K->96K(1152K), 0.0012143 secs] 24600K->24598K(130944K), 0.0012971 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.812+0200: 0.310: [GC (Allocation Failure) 0.310: [ParNew: 1090K->96K(1152K), 0.0010383 secs] 25593K->25591K(130944K), 0.0010889 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.813+0200: 0.311: [GC (Allocation Failure) 0.311: [ParNew: 1090K->96K(1152K), 0.0012154 secs] 26585K->26583K(130944K), 0.0012942 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.815+0200: 0.313: [GC (Allocation Failure) 0.313: [ParNew: 1090K->96K(1152K), 0.0011131 secs] 27578K->27576K(130944K), 0.0011626 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.816+0200: 0.314: [GC (Allocation Failure) 0.314: [ParNew: 1090K->96K(1152K), 0.0010911 secs] 28570K->28568K(130944K), 0.0011402 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.819+0200: 0.317: [GC (Allocation Failure) 0.317: [ParNew: 1090K->96K(1152K), 0.0012315 secs] 29563K->29561K(130944K), 0.0012898 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.821+0200: 0.318: [GC (Allocation Failure) 0.318: [ParNew: 1090K->96K(1152K), 0.0013631 secs] 30555K->30553K(130944K), 0.0014214 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.823+0200: 0.320: [GC (Allocation Failure) 0.320: [ParNew: 1090K->96K(1152K), 0.0010771 secs] 31548K->31546K(130944K), 0.0011215 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.824+0200: 0.322: [GC (Allocation Failure) 0.322: [ParNew: 1090K->96K(1152K), 0.0011604 secs] 32540K->32538K(130944K), 0.0012099 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
